name,gender,place_of_birth,birthday,profile_url,popularity,latitude,longitude
Joe Morton,2,New York City New York USA,18/10/1947,https://www.themoviedb.org/person/3977,1143.230193,40.7127281,-74.0060152
S. Epatha Merkerson,1,Saginaw Michigan USA,28/11/1952,https://www.themoviedb.org/person/3978,1054.486902,43.4200387,-83.9490365
Danny Cooksey,2,Moore Oklahoma USA,02/11/1975,https://www.themoviedb.org/person/3980,82.42692531,35.3383254,-97.4867045
Jenette Goldstein,1,Los Angeles California U.S.,04/02/1960,https://www.themoviedb.org/person/3981,289.1245091,-16.5867477,-72.7388789
Xander Berkeley,2,Brooklyn New York City New York USA,16/12/1955,https://www.themoviedb.org/person/3982,760.6839211,40.6526006,-73.9497211
Tom Hulce,2,Whitewater Wisconsin USA,06/12/1953,https://www.themoviedb.org/person/3999,731.4445116,42.8336422,-88.7292679
Elizabeth Berridge,1,Westchester New York USA,02/05/1962,https://www.themoviedb.org/person/4000,910.5259905,41.1763139,-73.7907554
Christine Ebersole,1,Chicago Illinois USA,21/02/1953,https://www.themoviedb.org/person/4003,224.2189139,41.8755616,-87.6244212
Jeffrey Jones,2,Buffalo New York USA,28/09/1946,https://www.themoviedb.org/person/4004,537.4488358,42.8867166,-78.8783922
Spencer Treat Clark,2,New York City New York United States,24/09/1987,https://www.themoviedb.org/person/4012,261.163541,40.7127281,-74.0060152
Steve Reevis,2,Montana USA,14/08/1962,https://www.themoviedb.org/person/4024,72.7812932,47.3752671,-109.638757
Steve Park,2,Brooklyn New York USA,18/02/1951,https://www.themoviedb.org/person/4025,355.599401,40.6526006,-73.9497211
Bob Gunton,2,Santa Monica California USA,15/11/1945,https://www.themoviedb.org/person/4029,2124.178427,34.0194704,-118.4912273
Martin Klebba,2,Troy Michigan U.S.,23/06/1969,https://www.themoviedb.org/person/4030,537.5205487,42.6229991,-83.14999981
Susan Sarandon,1,New York City New York USA,04/10/1946,https://www.themoviedb.org/person/4038,1148.251574,40.7127281,-74.0060152
Trey Wilson,2,Houston Texas USA,21/01/1948,https://www.themoviedb.org/person/4039,141.6984855,29.7589382,-95.3676974
Robert Wuhl,2,Union New Jersey U.S.,09/10/1951,https://www.themoviedb.org/person/4040,726.0494029,0,0
William O'Leary,2,Chicago Illinois USA,19/10/1957,https://www.themoviedb.org/person/4041,48.89206197,41.8755616,-87.6244212
Rick Marzan,2,Columbia South Carolina USA,02/06/1959,https://www.themoviedb.org/person/4047,43.7102605,34.0007493,-81.0343313
Jenny Robertson,1,Cincinnati Ohio USA,02/11/1963,https://www.themoviedb.org/person/4051,4.891422741,39.1014537,-84.5124602
Gary Cooper,2,Helena Montana USA,07/05/1901,https://www.themoviedb.org/person/4068,26.64728878,46.5927425,-112.036277
Grace Kelly,1,Philadelphia Pennsylvania USA,12/11/1929,https://www.themoviedb.org/person/4070,1031.528972,39.9527237,-75.1635262
Otto Kruger,2,Toledo Ohio USA,1885-09-06,https://www.themoviedb.org/person/4071,14.69032732,41.6529143,-83.5378173
Lon Chaney Jr.,2,Oklahoma City Oklahoma USA,10/02/1906,https://www.themoviedb.org/person/4072,22.07552791,35.4729886,-97.5170536
Harry Morgan,2,Detroit Michigan USA,10/04/1915,https://www.themoviedb.org/person/4073,25.85189898,42.3315509,-83.0466403
Ian MacDonald,2,Great Falls Montana USA,28/06/1914,https://www.themoviedb.org/person/4074,15.6740244,47.5048851,-111.29189
Eve McVeagh,1,Cincinnati Ohio U.S.,15/07/1919,https://www.themoviedb.org/person/4075,12.37479281,39.28881685,-84.31792686
Morgan Farley,2,Mamaroneck New York USA,1898-10-02,https://www.themoviedb.org/person/4076,21.67586656,40.9487097,-73.7326309
Harry Shannon,2,Saginaw Michigan USA,1890-06-13,https://www.themoviedb.org/person/4077,1133.203055,43.4200387,-83.9490365
Lee Van Cleef,2,Somerville New Jersey USA,09/01/1925,https://www.themoviedb.org/person/4078,471.9074681,40.5742696,-74.60988
Shirley MacLaine,1,Richmond Virginia USA,24/04/1934,https://www.themoviedb.org/person/4090,483.502212,37.5385087,-77.43428
Fred MacMurray,2,Kankakee Illinois USA,30/08/1908,https://www.themoviedb.org/person/4091,752.5861231,41.1253903,-87.848682
Ray Walston,2,New Orleans Louisiana USA,02/12/1914,https://www.themoviedb.org/person/4093,183.910976,29.9759983,-90.0782127
Edie Adams,1,Kingston Pennsylvania USA,16/04/1927,https://www.themoviedb.org/person/4098,34.28502266,41.2620137,-75.897197
Johnny Seven,2,Brooklyn New York USA,23/02/1926,https://www.themoviedb.org/person/4099,18.25353862,40.6526006,-73.9497211
Humphrey Bogart,2,New York City New York USA,1899-12-25,https://www.themoviedb.org/person/4110,802.0768034,40.7127281,-74.0060152
Dooley Wilson,2,Tyler Texas USA,1894-04-03,https://www.themoviedb.org/person/4117,28.28133029,32.3512601,-95.3010624
Joy Page,1,Los Angeles California USA,09/11/1924,https://www.themoviedb.org/person/4118,27.78665006,34.0536909,-118.242766
Giuseppe Andrews,2,Key Largo Florida USA,25/04/1979,https://www.themoviedb.org/person/4133,176.2380872,25.091338,-80.46777415
Robert Redford,2,Santa Monica California USA,18/08/1936,https://www.themoviedb.org/person/4135,751.4722359,34.0194704,-118.4912273
Craig Sheffer,2,York Pennsylvania USA,23/04/1960,https://www.themoviedb.org/person/4138,30.04207379,39.9624624,-76.727707
Tom Skerritt,2,Detroit Michigan USA,25/08/1933,https://www.themoviedb.org/person/4139,478.6485442,42.3315509,-83.0466403
Susan Traylor,1,New York - USA,,https://www.themoviedb.org/person/4158,19.69466527,40.7127281,-74.0060152
Patricia Charbonneau,1,Valley Stream Long Island New York USA,19/04/1959,https://www.themoviedb.org/person/4161,22.07741485,40.6815493,-73.68645927
Audra Lindley,1,Los Angeles California USA,24/09/1918,https://www.themoviedb.org/person/4162,7.091491577,34.0536909,-118.242766
John Wayne,2,Winterset Iowa USA ,26/05/1907,https://www.themoviedb.org/person/4165,139.5901608,41.3347631,-94.0135687
Dave Chappelle,2, Washington District of Columbia USA,24/08/1973,https://www.themoviedb.org/person/4169,135.3988313,38.8950368,-77.0365427
Jeffrey Tambor,2,San Francisco California USA,08/07/1944,https://www.themoviedb.org/person/4175,1269.04576,37.7790262,-122.419906
David S. Howard,2,Mt. Kisco New York USA,10/09/1928,https://www.themoviedb.org/person/4192,69.15647058,41.2084388,-73.7295886
Charles 'Honi' Coles,0,New York City New York U.S.,02/04/1911,https://www.themoviedb.org/person/4198,50.82534531,0,0
Neal Jones,2,Wichita Kansas USA,02/01/1960,https://www.themoviedb.org/person/4199,83.40459033,37.6922361,-97.3375448
Wayne Knight,2,New York City New York USA,07/08/1955,https://www.themoviedb.org/person/4201,817.5193983,40.7127281,-74.0060152
Erykah Badu,1,Dallas Texas USA,26/02/1971,https://www.themoviedb.org/person/4237,14.46929831,32.7762719,-96.7968559
Common,2,Chicago Illinois USA,13/03/1972,https://www.themoviedb.org/person/4238,1404.249499,41.8755616,-87.6244212
Yasiin Bey,2,Brooklyn New York USA,11/12/1973,https://www.themoviedb.org/person/4239,110.1517771,40.6526006,-73.9497211
Bilal,2,Philadelphia Pennsylvania USA,23/08/1979,https://www.themoviedb.org/person/4240,2.758379105,39.9527237,-75.1635262
Lil' Cease,2,Brooklyn New York USA,20/08/1977,https://www.themoviedb.org/person/4241,1.132439374,40.6526006,-73.9497211
Lauryn Hill,1,South Orange New Jersey USA,26/05/1975,https://www.themoviedb.org/person/4244,8.905659927,40.7474966,-74.2635376
Michael Lerner,2,Brooklyn New York USA,22/06/1941,https://www.themoviedb.org/person/4250,233.543784,40.6526006,-73.9497211
Tony Shalhoub,2,Green Bay Wisconsin USA,09/10/1953,https://www.themoviedb.org/person/4252,1080.347608,44.5126379,-88.0125794
Jon Polito,2,Philadelphia Pennsylvania USA ,29/12/1950,https://www.themoviedb.org/person/4253,259.4756557,39.9527237,-75.1635262
Richard Portnow,2,Brooklyn - New York - USA,26/01/1947,https://www.themoviedb.org/person/4255,385.584546,40.6526006,-73.9497211
Christopher Murney,2,Narragansett Rhode Island USA,20/07/1943,https://www.themoviedb.org/person/4256,25.12222494,41.4501021,-71.4495005
I.M. Hobson,2,Clifton Illinois USA,12/08/1935,https://www.themoviedb.org/person/4257,49.72474299,40.9353109,-87.9344851
Dean Martin,2,Steubenville Ohio USA,07/06/1917,https://www.themoviedb.org/person/4299,21.92088626,40.3697905,-80.6339638
Ricky Nelson,2,Teaneck New Jersey U.S.,08/05/1940,https://www.themoviedb.org/person/4300,6.640073256,0,0
Angie Dickinson,1,Kulm North Dakota USA,30/09/1931,https://www.themoviedb.org/person/4301,88.54975313,46.301914,-98.948162
Walter Brennan,2,Lynn Massachusetts USA,1894-07-25,https://www.themoviedb.org/person/4302,61.07394847,42.466763,-70.9494939
Ward Bond,2,Benkelman Nebraska USA,09/04/1903,https://www.themoviedb.org/person/4303,133.3429534,40.0491615,-101.5329443
John Russell,2,Los Angeles California USA,03/01/1921,https://www.themoviedb.org/person/4304,22.265487,34.0536909,-118.242766
Pedro Gonzalez Gonzalez,2,Aguilares Texas USA,24/05/1925,https://www.themoviedb.org/person/4305,9.813923972,27.4486359,-99.0872507
Claude Akins,2,Nelson Georgia U.S.,25/05/1926,https://www.themoviedb.org/person/4307,20.09986981,0,0
"Harry Carey, Jr.",2,Saugus Santa Clarita California USA,16/05/1921,https://www.themoviedb.org/person/4316,201.9881797,34.4493489,-118.5168257
Stacy Peralta,2,Los Angeles County California USA,15/10/1957,https://www.themoviedb.org/person/4319,4.342822973,34.3155072,-118.2096814
Laird Hamilton,2,San Francisco California USA,02/03/1964,https://www.themoviedb.org/person/4324,12.94278231,37.7790262,-122.419906
David H. Kalama Jr.,2, Newport Beach California USA,,https://www.themoviedb.org/person/4326,0.209230307,33.6170092,-117.9294401
Buzzy Kerbox,2,Indiana USA,25/10/1956,https://www.themoviedb.org/person/4328,0.299687019,40.3270127,-86.1746933
Gerry Lopez,2,Honolulu Hawaii U.S.,07/11/1948,https://www.themoviedb.org/person/4330,11.94091523,21.2890997,-157.717299
Kelly Slater,2,Cocoa Beach FL USA,11/02/1972,https://www.themoviedb.org/person/4334,10.74279642,28.3194741,-80.6102592
Louis Calhern,2,Brooklyn [now in New York City] New York USA,1895-02-19,https://www.themoviedb.org/person/4343,58.19962621,40.6526006,-73.9497211
Frank Sinatra,2,Hoboken New Jersey USA,12/12/1915,https://www.themoviedb.org/person/4347,44.34427016,40.7433066,-74.0323752
Cesar Romero,2,New York City New York USA,15/02/1907,https://www.themoviedb.org/person/4355,51.99440864,40.7127281,-74.0060152
Patrice Wymore,1,Miltonvale Kansas United States,17/12/1926,https://www.themoviedb.org/person/4356,1.639862199,39.3493671,-97.4490163
Sharon Stone,1,Meadville Pennsylvania USA,10/03/1958,https://www.themoviedb.org/person/4430,1498.568735,41.641445,-80.151449
Jessica Lange,1,Cloquet Minnesota USA,20/04/1949,https://www.themoviedb.org/person/4431,425.6587548,46.7217279,-92.4613669
Frances Conroy,1,Monroe Georgia USA,15/03/1953,https://www.themoviedb.org/person/4432,268.7524756,33.0142344,-83.9044159
Alexis Dziena,1,New York City New York USA,08/07/1984,https://www.themoviedb.org/person/4433,25.24937862,40.7127281,-74.0060152
Pell James,1,Virginia USA,30/04/1977,https://www.themoviedb.org/person/4441,107.639298,37.1232245,-78.4927721
Christopher McDonald,2,New York City New York USA,15/02/1955,https://www.themoviedb.org/person/4443,1185.439745,40.7127281,-74.0060152
Chris Bauer,2,Los Angeles California USA,28/10/1966,https://www.themoviedb.org/person/4445,296.9720314,34.0536909,-118.242766
Mark Webber,2,Minneapolis Minnesota USA,19/07/1980,https://www.themoviedb.org/person/4451,91.45711238,44.9772995,-93.2654692
Lisa Marie,1,Piscataway New Jersey USA,05/12/1968,https://www.themoviedb.org/person/4452,356.9584517,40.5462553,-74.4660408
Dustin Hoffman,2,Los Angeles California USA,08/08/1937,https://www.themoviedb.org/person/4483,2518.299558,34.0536909,-118.242766
Jennifer Aniston,1,Sherman Oaks Los Angeles California USA,11/02/1969,https://www.themoviedb.org/person/4491,2094.347747,34.1508718,-118.4489865
Philip Baker Hall,2,Toledo Ohio USA,10/09/1931,https://www.themoviedb.org/person/4492,1177.221551,41.6529143,-83.5378173
Lisa Ann Walter,1,Silver Spring Maryland USA,03/08/1963,https://www.themoviedb.org/person/4494,551.088303,38.9997621,-77.0240371
Steve Carell,2,Concord Massachusetts USA,16/08/1962,https://www.themoviedb.org/person/4495,4639.69275,42.4605189,-71.3488963
Nora Dunn,1,Chicago Illinois USA,29/04/1952,https://www.themoviedb.org/person/4496,456.407519,41.8755616,-87.6244212
Paul Satterfield,2,Nashville Tennessee USA,19/08/1960,https://www.themoviedb.org/person/4498,24.61088547,36.1622767,-86.7742984
Harry Bugin,0,New York New York City USA,10/03/1929,https://www.themoviedb.org/person/4510,64.25387786,40.7830439,-73.9527658
James Woods,2,Vernal Utah USA,18/04/1947,https://www.themoviedb.org/person/4512,659.3190276,40.4556825,-109.5284741
Elizabeth McGovern,1,Evanston Illinois USA,18/07/1961,https://www.themoviedb.org/person/4513,155.0976335,42.0447388,-87.6930459
Tuesday Weld,1,New York City New York USA,27/08/1943,https://www.themoviedb.org/person/4514,79.86645574,40.7127281,-74.0060152
Treat Williams,2,Rowayton Connecticut USA,01/12/1951,https://www.themoviedb.org/person/4515,352.5802757,41.0777255,-73.4442745
James Hayden,2,Brooklyn New York USA,25/11/1953,https://www.themoviedb.org/person/4516,29.75207777,40.6526006,-73.9497211
Joe Pesci,2,Newark New Jersey USA ,09/02/1943,https://www.themoviedb.org/person/4517,2241.583261,40.735657,-74.1723667
William Forsythe,2,Bedford-Stuyvesant Brooklyn New York USA,07/06/1955,https://www.themoviedb.org/person/4520,185.22155,40.6834364,-73.9412488
Burt Young,2,New York City New York USA,30/04/1940,https://www.themoviedb.org/person/4521,644.0100755,40.7127281,-74.0060152
Jackie Brown,1,Connecticut USA,29/07/1977,https://www.themoviedb.org/person/4571,8.671180398,41.6500201,-72.7342163
Halle Berry,1,Cleveland Ohio USA,14/08/1966,https://www.themoviedb.org/person/4587,628.6722987,41.4996562,-81.6936813
Benjamin Bratt,2,San Francisco California USA,16/12/1963,https://www.themoviedb.org/person/4589,2169.817398,37.7790262,-122.419906
Lori Williams,1,Pittsburgh Pennsylvania USA,23/03/1946,https://www.themoviedb.org/person/4594,2.046445454,40.3693889,-80.6243098
Sue Bernard,1,Los Angeles California USA,11/02/1948,https://www.themoviedb.org/person/4595,1.406719856,34.0536909,-118.242766
Stuart Lancaster,2,Evanston Illinois USA,30/11/1920,https://www.themoviedb.org/person/4596,240.118186,42.0447388,-87.6930459
Jon Tenney,2,Princeton New Jersey USA,16/12/1961,https://www.themoviedb.org/person/4602,147.3466584,40.3492744,-74.6592958
Joey Travolta,2,Englewood New Jersey USA,14/10/1950,https://www.themoviedb.org/person/4603,10.39229632,40.8928771,-73.9726381
Theresa Randle,1,Los Angeles California U.S.,27/12/1964,https://www.themoviedb.org/person/4604,1383.369799,-16.5867477,-72.7388789
Jimmy Ortega,2,El Paso Texas USA,,https://www.themoviedb.org/person/4606,246.3904589,31.7754152,-106.464634
Nile Rodgers,2,New York City New York USA,19/09/1952,https://www.themoviedb.org/person/4613,3.809407439,40.7127281,-74.0060152
Jeremy Davies,2,Saugus California USA,08/10/1969,https://www.themoviedb.org/person/4654,825.3099438,34.4493489,-118.5168257
John Furlong,2,Albany New York USA,14/04/1933,https://www.themoviedb.org/person/4679,20.85908178,42.6511674,-73.754968
Patricia Arquette,1,Chicago Illinois USA,08/04/1968,https://www.themoviedb.org/person/4687,918.3184105,41.8755616,-87.6244212
Michael Rapaport,2,New York City New York USA,20/03/1970,https://www.themoviedb.org/person/4688,272.5794169,40.7127281,-74.0060152
Bronson Pinchot,2,New York City New York USA,20/05/1959,https://www.themoviedb.org/person/4689,112.2302223,40.7127281,-74.0060152
Christopher Walken,2,Queens New York USA,31/03/1943,https://www.themoviedb.org/person/4690,5355.857174,40.7135078,-73.8283132
James Gandolfini,2,Westwood New Jersey USA,18/09/1961,https://www.themoviedb.org/person/4691,560.8089726,40.9912087,-74.0326395
Frank Adonis,2,Brooklyn New York  USA,27/10/1935,https://www.themoviedb.org/person/4692,144.3373666,40.6526006,-73.9497211
Questlove,2,Philadelphia Pennsylvania USA,20/01/1971,https://www.themoviedb.org/person/4719,66.90084019,39.9527237,-75.1635262
Kanye West,2,Atlanta Georgia USA,08/06/1977,https://www.themoviedb.org/person/4720,24.27260345,33.7489924,-84.3902644
Jill Scott,1,Philadelphia PA USA,04/04/1972,https://www.themoviedb.org/person/4721,23.78724716,39.9527237,-75.1635262
Kevin Bacon,2,Philadelphia Pennsylvania USA,08/07/1958,https://www.themoviedb.org/person/4724,1754.786628,39.9527237,-75.1635262
Marcia Gay Harden,1,La Jolla California USA,14/08/1959,https://www.themoviedb.org/person/4726,1425.044784,32.83259,-117.2716839
Kevin Chapman,2,Boston Massachusetts USA,29/07/1962,https://www.themoviedb.org/person/4728,138.4266618,42.3554334,-71.060511
Tom Guiry,2,North Trenton - New Jersey - USA,12/10/1981,https://www.themoviedb.org/person/4729,186.5809693,40.2306833,-74.7638666
Emmy Rossum,1,New York City New York USA,12/09/1986,https://www.themoviedb.org/person/4730,140.6335999,40.7127281,-74.0060152
Adam Nelson,2,Boston Massachusetts U.S.,,https://www.themoviedb.org/person/4732,57.0195063,42.3535218,-71.0489138
Robert Wahlberg,2,Boston - Massachusetts - USA,18/12/1967,https://www.themoviedb.org/person/4733,171.492085,42.3554334,-71.060511
Jenny O'Hara,1,Sonora California USA,23/02/1942,https://www.themoviedb.org/person/4734,59.23814874,37.9840911,-120.3821381
John Doman,2,Philadelphia Pennsylvania USA ,09/01/1945,https://www.themoviedb.org/person/4735,227.3881255,39.9527237,-75.1635262
Cameron Bowen,2,Columbus Ohio USA,13/09/1988,https://www.themoviedb.org/person/4736,34.97190199,39.9622601,-83.0007065
Connor Paolo,2,New York City New York USA,11/07/1990,https://www.themoviedb.org/person/4738,61.0243789,40.7127281,-74.0060152
Cayden Boyd,2,Bedford Texas USA,24/05/1994,https://www.themoviedb.org/person/4741,113.06326,32.844017,-97.1430671
Jonathan Togo,2,Rockland Massachusetts USA,25/08/1977,https://www.themoviedb.org/person/4743,32.56300042,42.1306563,-70.9161551
Brian Bloom,2,Long Island - New York - USA,30/06/1970,https://www.themoviedb.org/person/4753,65.11192106,40.85149705,-73.09942581
Matthew Broderick,2,New York City New York USA,21/03/1962,https://www.themoviedb.org/person/4756,915.7262676,40.7127281,-74.0060152
Joely Fisher,1,Burbank California U.S.,29/10/1967,https://www.themoviedb.org/person/4758,54.46713253,32.809399,-117.160889
Darlanne Fluegel,1,Pasadena California USA,25/11/1958,https://www.themoviedb.org/person/4761,47.69799985,34.1476452,-118.1444779
John C. Reilly,2,Chicago Illinois USA,24/05/1965,https://www.themoviedb.org/person/4764,4052.926621,41.8755616,-87.6244212
Jason Robards,2,Chicago Illinois USA,26/07/1922,https://www.themoviedb.org/person/4765,428.5703512,41.8755616,-87.6244212
Jim Brown,2,St. Simons Island Georgia USA,17/02/1936,https://www.themoviedb.org/person/4774,65.74118515,0,0
Michael Murphy,2,Los Angeles California USA,05/05/1938,https://www.themoviedb.org/person/4776,1443.68648,34.0536909,-118.242766
Melinda Dillon,1,Hope Arkansas USA,13/10/1939,https://www.themoviedb.org/person/4778,134.2270301,33.6670616,-93.5915665
Jeremy Blackman,2,USA,01/01/1987,https://www.themoviedb.org/person/4779,71.62280692,39.7837304,-100.445882
Laura Dern,1,Los Angeles California USA,10/02/1967,https://www.themoviedb.org/person/4784,3316.830642,34.0536909,-118.242766
Jeff Goldblum,2,Pittsburgh Pennsylvania USA,22/10/1952,https://www.themoviedb.org/person/4785,3900.168823,40.3693889,-80.6243098
Joseph Mazzello,2,Rhinebeck New York U.S.,21/09/1983,https://www.themoviedb.org/person/4787,718.1206706,0,0
Ariana Richards,1,Healdsburg California USA,11/09/1979,https://www.themoviedb.org/person/4788,565.639328,38.6106812,-122.870138
Greg Burson,2,Los Angeles California USA,29/06/1949,https://www.themoviedb.org/person/4791,285.6446893,34.0536909,-118.242766
Gena Rowlands,1,Madison Wisconsin USA,19/06/1930,https://www.themoviedb.org/person/4800,100.4575273,43.074761,-89.3837613
Rosie Perez,1,Bushwick Brooklyn New York City New York USA,06/09/1964,https://www.themoviedb.org/person/4810,236.3722429,40.6942696,-73.9187482
Norman Reedus,2,Hollywood - Florida - USA,06/01/1969,https://www.themoviedb.org/person/4886,571.7817775,26.0112014,-80.1494901
Joe Grifasi,2,Buffalo - New York - USA,14/06/1944,https://www.themoviedb.org/person/4887,94.32453226,42.8867166,-78.8783922
Lily Rabe,1,New York City New York USA,29/06/1982,https://www.themoviedb.org/person/4888,77.99708218,40.7127281,-74.0060152
Kim Director,1,Pittsburgh Pennsylvania USA,13/11/1974,https://www.themoviedb.org/person/4889,122.3055762,40.3693889,-80.6243098
Brian Tarantina,2,New York City New York USA,27/03/1959,https://www.themoviedb.org/person/4890,124.2571521,40.7127281,-74.0060152
Chuck Cooper,2,Cleveland - Ohio - USA,08/11/1954,https://www.themoviedb.org/person/4892,55.13289393,41.4996562,-81.6936813
Vince Vaughn,2,Minneapolis Minnesota USA,28/03/1970,https://www.themoviedb.org/person/4937,999.3886114,44.9772995,-93.2654692
Téa Leoni,1,New York City New York USA,25/02/1966,https://www.themoviedb.org/person/4939,1383.402315,40.7127281,-74.0060152
Trevor Morgan,2,Chicago Illinois USA,26/11/1986,https://www.themoviedb.org/person/4940,114.9915611,41.8755616,-87.6244212
Alessandro Nivola,2,Boston Massachusetts USA,28/06/1972,https://www.themoviedb.org/person/4941,690.3740613,42.3554334,-71.060511
John Diehl,2,Cincinnati Ohio USA,01/05/1950,https://www.themoviedb.org/person/4942,97.14579927,39.1014537,-84.5124602
Bruce A. Young,2,Wilmette Illinois USA,22/04/1956,https://www.themoviedb.org/person/4943,129.4378035,42.0717994,-87.7277639
Taylor Nichols,2,Louisville - Kentucky - USA,03/03/1959,https://www.themoviedb.org/person/4944,89.73236292,38.2542376,-85.759407
Henry Fonda,2,Grand Island Nebraska USA,16/05/1905,https://www.themoviedb.org/person/4958,112.0177377,40.924271,-98.338685
Charles Bronson,2,Ehrenfeld Pennsylvania USA,03/11/1921,https://www.themoviedb.org/person/4960,77.92137804,40.3714629,-78.7775214
Woody Strode,2,Los Angeles California USA,25/07/1914,https://www.themoviedb.org/person/4963,60.04020987,34.0536909,-118.242766
Jack Elam,2,Miami Gila Arizona USA,13/11/1920,https://www.themoviedb.org/person/4965,50.51912967,33.3994776,-110.87095
Keenan Wynn,2,New York City New York USA,27/07/1916,https://www.themoviedb.org/person/4966,82.84482481,40.7127281,-74.0060152
Lionel Stander,2,The Bronx New York City New York USA,11/01/1908,https://www.themoviedb.org/person/4969,40.06036733,40.8506558,-73.8665241
Ruth Gordon,1,Quincy Massachusetts USA,1896-10-30,https://www.themoviedb.org/person/4970,24.48039493,42.2509914,-71.0037374
Bud Cort,2,New Rochelle New York USA,29/03/1948,https://www.themoviedb.org/person/4971,327.0381864,40.9115386,-73.7826363
Charles Tyner,2,Danville Virginia USA,08/06/1925,https://www.themoviedb.org/person/4974,142.8891229,36.5859718,-79.3950228
Ellen Geer,1,New York City New York USA,29/08/1941,https://www.themoviedb.org/person/4975,54.52081691,40.7127281,-74.0060152
G. Wood,2,Forrest City Arkansas USA,31/12/1919,https://www.themoviedb.org/person/4977,32.31864688,35.0081474,-90.7898342
Shari Summers,1,Santa Clara County California USA,28/02/1946,https://www.themoviedb.org/person/4979,7.403873725,37.2333253,-121.6846349
Omar Epps,2,Brooklyn New York USA,20/07/1973,https://www.themoviedb.org/person/4987,44.10253747,40.6526006,-73.9497211
Lombardo Boyar,2,El Paso Texas USA,01/12/1973,https://www.themoviedb.org/person/4992,442.7141918,31.7754152,-106.464634
James Shigeta,2,Honolulu Oahu Hawaii USA,17/06/1929,https://www.themoviedb.org/person/4995,272.8685466,0,0
Tatyana Ali,1,Long Island New York USA,24/01/1979,https://www.themoviedb.org/person/4996,22.23528233,40.85149705,-73.09942581
Madison Eginton,1, Los Angeles County California USA,28/08/1989,https://www.themoviedb.org/person/5006,15.96427274,34.3155072,-118.2096814
Todd Field,2,Pomona California USA,24/02/1964,https://www.themoviedb.org/person/5010,194.1398127,34.0553813,-117.7517496
Julienne Davis,1,Los Angeles County California USA,26/09/1973,https://www.themoviedb.org/person/5023,29.02291801,34.3155072,-118.2096814
Vinessa Shaw,1,Los Angeles California USA,19/07/1976,https://www.themoviedb.org/person/5025,286.0380299,34.0536909,-118.242766
Ernö Verebes,2,New York City New York USA,06/12/1904,https://www.themoviedb.org/person/5040,5.610282585,40.7127281,-74.0060152
Fred Nurney,2,Des Moines Iowa USA,1895-05-11,https://www.themoviedb.org/person/5044,9.356920932,41.5910323,-93.6046655
Harry Dean Stanton,2,West Irvine Kentucky USA,14/07/1926,https://www.themoviedb.org/person/5048,718.8578994,37.7014712,-83.990758
Yaphet Kotto,2,New York City New York U.S.A,16/11/1939,https://www.themoviedb.org/person/5050,125.9672372,0,0
Helen Horton,1,Chicago Illinois USA,28/09/1923,https://www.themoviedb.org/person/5052,81.86647055,41.8755616,-87.6244212
Joseph Ragno,2,Brooklyn New York USA,11/03/1936,https://www.themoviedb.org/person/5063,45.00471417,40.6526006,-73.9497211
Meryl Streep,1,Summit New Jersey USA,22/06/1949,https://www.themoviedb.org/person/5064,2548.114941,40.7182356,-74.3592296
Adrian Grenier,2,Santa Fe New Mexico USA,10/07/1976,https://www.themoviedb.org/person/5090,106.6321811,35.6876096,-105.9384569
Paul Reubens,2,Peekskill New York USA,27/08/1952,https://www.themoviedb.org/person/5129,2121.576793,41.289811,-73.9204922
Cristi Conaway,1,Lubbock Texas USA,14/08/1964,https://www.themoviedb.org/person/5130,184.9538446,33.5635206,-101.879336
Diane Salinger,1, Philadelphia Pennsylvania USA,25/01/1951,https://www.themoviedb.org/person/5131,39.45484917,39.9527237,-75.1635262
Robert Englund,2,Glendale California USA,06/06/1947,https://www.themoviedb.org/person/5139,104.1265834,34.1469416,-118.2478471
Heather Langenkamp,1,Tulsa Oklahoma USA,17/07/1964,https://www.themoviedb.org/person/5141,90.65195338,36.13334,-95.9224992
Jack Murdock,2,Ohio USA,28/10/1922,https://www.themoviedb.org/person/5145,37.89522694,40.2253569,-82.6881395
Michael D. Roberts,2,Brooklyn New York  USA,25/12/1947,https://www.themoviedb.org/person/5146,102.0021407,40.6526006,-73.9497211
Bonnie Hunt,1,Chicago Lawn Chicago Illinois USA,22/09/1961,https://www.themoviedb.org/person/5149,4645.656449,41.771109,-87.69574723
Kim Robillard,2,Birmingham Alabama USA,01/01/1955,https://www.themoviedb.org/person/5150,234.6992845,33.5206824,-86.8024326
Beth Grant,1,Gadsden Alabama USA,18/09/1949,https://www.themoviedb.org/person/5151,1015.16571,34.010929,-85.9989596
J.E. Freeman,2,Brooklyn New York  USA,02/02/1946,https://www.themoviedb.org/person/5169,111.0171564,40.6526006,-73.9497211
Mike Starr,2,Flushing Queens New York City New York USA,29/07/1950,https://www.themoviedb.org/person/5170,265.5442318,40.7654301,-73.8174291
Al Mancini,2,New London Ohio USA,13/11/1932,https://www.themoviedb.org/person/5171,30.28797479,41.0850542,-82.3998887
Sam McMurray,2,New York City New York USA,15/04/1952,https://www.themoviedb.org/person/5176,145.2550941,40.7127281,-74.0060152
Randall 'Tex' Cobb,2,Bridge City Texas USA,07/05/1950,https://www.themoviedb.org/person/5177,96.77268332,30.0207678,-93.8457255
Jeff Fischer,2,USA,10/08/1968,https://www.themoviedb.org/person/5211,101.6318914,39.7837304,-100.445882
